熱門收視頻道,#genre#
東森娛樂台,http://127.0.0.1:5000/index.m3u8?pid=ofiii32
鄉民大學問,http://127.0.0.1:5000/index.m3u8?pid=ofiii83
野球名人房,http://127.0.0.1:5000/index.m3u8?pid=ofiii84
社會NOW什麼,http://127.0.0.1:5000/index.m3u8?pid=ofiii85
倪珍報星座,http://127.0.0.1:5000/index.m3u8?pid=ofiii86
豬哥壹級棒,http://127.0.0.1:5000/index.m3u8?pid=ofiii126
小明星大跟班,http://127.0.0.1:5000/index.m3u8?pid=ofiii127
WTO姐妹會,http://127.0.0.1:5000/index.m3u8?pid=ofiii129
綜藝玩很大,http://127.0.0.1:5000/index.m3u8?pid=ofiii130
全民星攻略,http://127.0.0.1:5000/index.m3u8?pid=ofiii131
台灣啟示錄,http://127.0.0.1:5000/index.m3u8?pid=ofiii133
法眼黑與白,http://127.0.0.1:5000/index.m3u8?pid=ofiii134
天才衝衝衝,http://127.0.0.1:5000/index.m3u8?pid=ofiii135
女人我最大,http://127.0.0.1:5000/index.m3u8?pid=ofiii137
一字千金,http://127.0.0.1:5000/index.m3u8?pid=ofiii142
11點熱吵店,http://127.0.0.1:5000/index.m3u8?pid=ofiii143
食尚玩家-Hello腹餓代,http://127.0.0.1:5000/index.m3u8?pid=ofiii225
食尚玩家-天菜就醬吃,http://127.0.0.1:5000/index.m3u8?pid=ofiii226
食尚玩家-2天1夜go,http://127.0.0.1:5000/index.m3u8?pid=ofiii227
食尚玩家-熱血48小時,http://127.0.0.1:5000/index.m3u8?pid=ofiii228
食尚玩家-魚肉鄉民,http://127.0.0.1:5000/index.m3u8?pid=ofiii229
食尚玩家-瘋狂總部,http://127.0.0.1:5000/index.m3u8?pid=ofiii230
非凡大探索,http://127.0.0.1:5000/index.m3u8?pid=ofiii234
台灣1001個故事,http://127.0.0.1:5000/index.m3u8?pid=ofiii235
詹姆士出走料理,http://127.0.0.1:5000/index.m3u8?pid=ofiii236
進擊的台灣,http://127.0.0.1:5000/index.m3u8?pid=ofiii237
世界第一等,http://127.0.0.1:5000/index.m3u8?pid=ofiii238
台灣第一等,http://127.0.0.1:5000/index.m3u8?pid=ofiii239
溢遊未盡,http://127.0.0.1:5000/index.m3u8?pid=ofiii240
卡通‧兒童,#genre#
ELTV生活英語台,http://127.0.0.1:5000/index.m3u8?pid=litv-longturn20
龍華卡通台,http://127.0.0.1:5000/index.m3u8?pid=litv-longturn01
哆啦Ａ夢台,http://127.0.0.1:5000/index.m3u8?pid=ofiii22
新哆啦A夢(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii23
動漫,#genre#
新哆啦A夢(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii23
雖然等級只有1級但固有技能是最強的,http://127.0.0.1:5000/index.m3u8?pid=ofiii159
擁有超常技能的異世界流浪美食家,http://127.0.0.1:5000/index.m3u8?pid=ofiii160
WIND BREAKER—防風少年—,http://127.0.0.1:5000/index.m3u8?pid=ofiii161
在異世界獲得超強能力的我，在現實世界照樣無敵～等級提升改變人生命運～,http://127.0.0.1:5000/index.m3u8?pid=ofiii162
第一神拳,http://127.0.0.1:5000/index.m3u8?pid=ofiii163
刀劍神域(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii164
蠟筆小新(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii165
我們這一家,http://127.0.0.1:5000/index.m3u8?pid=ofiii166
獵人(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii167
中華一番(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii168
隊長小翼(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii169
SPY X FAMILY 間諜家家酒,http://127.0.0.1:5000/index.m3u8?pid=ofiii170
SPY X FAMILY 間諜家家酒(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii171
無職轉生，到了異世界就拿出真本事,http://127.0.0.1:5000/index.m3u8?pid=ofiii172
關於我轉生變成史萊姆這檔事(國),http://127.0.0.1:5000/index.m3u8?pid=ofiii173
夏目友人帳,http://127.0.0.1:5000/index.m3u8?pid=ofiii174
家庭教師HITMAN REBORN!(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii175
烘焙王(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii176
鋼之鍊金術師,http://127.0.0.1:5000/index.m3u8?pid=ofiii177
JOJO 的奇妙冒險,http://127.0.0.1:5000/index.m3u8?pid=ofiii178
葬送的芙莉蓮,http://127.0.0.1:5000/index.m3u8?pid=ofiii179
史上最強弟子兼一(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii180
爆漫王(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii181
忍者亂太郎(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii182
删除缓存,#genre#
删除缓存,http://127.0.0.1:5000/clear_all_cache
